customer_id,region,segment,signup_date,cohort_month
C0001,North,SMB,2022-09-08,2022-09
C0002,South,ENTERPRISE,2023-11-24,2023-11
C0003,North,ENTERPRISE,2022-01-31,2022-01
C0004,North,ENTERPRISE,2023-09-09,2023-09
C0005,North,ENTERPRISE,2023-10-28,2023-10
C0006,West,ENTERPRISE,2022-10-12,2022-10
C0007,North,ENTERPRISE,2022-12-15,2022-12
C0008,East,ENTERPRISE,2024-02-21,2024-02
C0009,East,SMB,2023-01-01,2023-01
C0010,North,MID-MARKET,2023-09-11,2023-09
C0011,East,SMB,2023-07-04,2023-07
C0012,North,SMB,2023-01-01,2023-01
C0013,East,MID-MARKET,2024-06-01,2024-06
C0014,East,ENTERPRISE,2022-03-13,2022-03
C0015,North,MID-MARKET,2022-10-24,2022-10
C0016,North,ENTERPRISE,2023-01-25,2023-01
C0017,East,SMB,2023-01-09,2023-01
C0018,South,MID-MARKET,2023-11-18,2023-11
C0019,East,MID-MARKET,2023-10-26,2023-10
C0020,North,ENTERPRISE,2023-07-01,2023-07
C0021,South,ENTERPRISE,2022-10-04,2022-10
C0022,South,MID-MARKET,2024-02-26,2024-02
C0023,North,ENTERPRISE,2024-04-04,2024-04
C0024,East,SMB,2022-08-05,2022-08
C0025,East,ENTERPRISE,2023-02-10,2023-02
C0026,West,ENTERPRISE,2022-09-10,2022-09
C0027,East,MID-MARKET,2023-08-21,2023-08
C0028,West,MID-MARKET,2022-05-22,2022-05
C0029,West,SMB,2024-05-31,2024-05
C0030,North,ENTERPRISE,2024-03-22,2024-03
C0031,West,ENTERPRISE,2023-01-01,2023-01
C0032,West,ENTERPRISE,2023-06-26,2023-06
C0033,East,ENTERPRISE,2022-01-12,2022-01
C0034,North,MID-MARKET,2024-02-08,2024-02
C0035,East,MID-MARKET,2022-10-28,2022-10
C0036,West,ENTERPRISE,2024-01-10,2024-01
C0037,East,ENTERPRISE,2023-06-04,2023-06
C0038,North,MID-MARKET,2023-10-17,2023-10
