month,region,target_revenue
2024-01-01,North,34919.17
2024-01-01,South,31256.02
2024-01-01,East,16387.97
2024-01-01,West,19013.38
2024-02-01,North,27909.66
2024-02-01,South,25812.64
2024-02-01,East,27279.33
2024-02-01,West,23831.63
2024/03/01,North,15697.22
2024-03-01,South,29550.9
2024-03-01,East,15375.3
2024/03/01,West,28057.31
2024-04-01,North,15756.71
2024-04-01,South,18032.15
2024/04/01,East,22826.61
2024-04-01,West,29152.11
2024-05-01,North,24562.79
2024-05-01,South,29555.35
2024-05-01,East,16401.99
2024-05-01,West,22688.48
2024-06-01,North,30596.6
2024-06-01,South,25706.08
2024-06-01,East,21668.79
2024-06-01,West,16103.89
2024-07-01,North,27941.49
2024-07-01,South,32066.84
2024-07-01,East,31823.63
2024-07-01,West,20799.17
2024-08-01,North,26089.51
2024-08-01,South,28214.68
2024-08-01,East,22802.09
2024-08-01,West,28776.85
2024-09-01,North,32704.28
2024/09/01,South,18789.29
2024-09-01,East,15507.29
2024-09-01,West,19769.7
2024-10-01,North,30854.78
2024-10-01,South,24993.68
2024-10-01,East,31235.56
2024-10-01,West,15328.37
2024-11-01,North,21754.37
2024-11-01,South,23110.16
2024-11-01,East,28077.0
2024-11-01,West,33801.8
2024-12-01,North,25731.23
2024/12/01,South,19659.71
2024-12-01,East,29709.19
2024-12-01,West,15381.26
2024-05-01,West,22688.48
2024-01-01,South,31256.02
2024-02-01,West,23831.63
2024-02-01,North,27909.66
2024-01-01,North,34919.17
2024-02-01,South,25812.64
2024-01-01,South,31256.02
2024-03-01,South,29550.9
